DATE,EXPINF5YR
2006-01-01,2.4179209
2006-02-01,2.4925589
2006-03-01,2.3740367
2006-04-01,2.6220555
2006-05-01,2.6766408
2006-06-01,2.6644275
2006-07-01,2.7219999
2006-08-01,2.6393349
2006-09-01,2.5251677
2006-10-01,2.4628321
2006-11-01,2.3106579
2006-12-01,2.2915076
2007-01-01,2.5310126
2007-02-01,2.5721237
2007-03-01,2.4818584
2007-04-01,2.4880411
2007-05-01,2.5464455
2007-06-01,2.7193803
2007-07-01,2.6195574
2007-08-01,2.4884813
2007-09-01,2.3982691
2007-10-01,2.3895245
2007-11-01,2.3891912
2007-12-01,2.1453352
2008-01-01,2.1512253
2008-02-01,2.0129504
2008-03-01,1.8505815
2008-04-01,1.9073272
2008-05-01,2.1396628
2008-06-01,2.2835338
2008-07-01,2.3433765
2008-08-01,2.3521255
2008-09-01,2.1877163
2008-10-01,1.9686992
2008-11-01,1.7893924
2008-12-01,1.3218537
2009-01-01,1.3752818
2009-02-01,1.4101179
2009-03-01,1.2759688
2009-04-01,1.5198782
2009-05-01,1.6751807
2009-06-01,1.8190876
2009-07-01,1.8791617
2009-08-01,1.9783579
2009-09-01,1.988202
2009-10-01,1.7989016
2009-11-01,1.8819046
2009-12-01,1.767798
2010-01-01,1.9320247
2010-02-01,1.8645258
2010-03-01,1.8811108
2010-04-01,1.897095
2010-05-01,1.856677
2010-06-01,1.6983544
2010-07-01,1.5125837
2010-08-01,1.5327991
2010-09-01,1.3628384
2010-10-01,1.4064908
2010-11-01,1.3817
2010-12-01,1.5370198
2011-01-01,1.8493193
2011-02-01,1.8901178
2011-03-01,1.9631042
2011-04-01,2.0073539
2011-05-01,1.9651925
2011-06-01,1.8123879
2011-07-01,1.9369166
2011-08-01,1.5890717
2011-09-01,1.3655802
2011-10-01,1.4432293
2011-11-01,1.4665774
2011-12-01,1.5221908
2012-01-01,1.455813
2012-02-01,1.406833
2012-03-01,1.4255371
2012-04-01,1.527704
2012-05-01,1.4303528
2012-06-01,1.2066404
2012-07-01,1.3280776
2012-08-01,1.3348091
2012-09-01,1.443758
2012-10-01,1.3814058
2012-11-01,1.4037991
2012-12-01,1.4588874
2013-01-01,1.3370393
2013-02-01,1.3922361
2013-03-01,1.231004
2013-04-01,1.3281382
2013-05-01,1.2491782
2013-06-01,1.4008832
2013-07-01,1.4426627
2013-08-01,1.6468685
2013-09-01,1.7968176
2013-10-01,1.5911875
2013-11-01,1.5695147
2013-12-01,1.6860486
2014-01-01,1.7153084
2014-02-01,1.632026
