DATE,EXPINF2YR
2006-01-01,2.4336446
2006-02-01,2.5209066
2006-03-01,2.1593927
2006-04-01,2.6704905
2006-05-01,2.7761536
2006-06-01,2.7155452
2006-07-01,2.767961
2006-08-01,2.7582447
2006-09-01,2.6166808
2006-10-01,2.4741667
2006-11-01,2.1920057
2006-12-01,2.2213158
2007-01-01,2.6191845
2007-02-01,2.6283059
2007-03-01,2.6433729
2007-04-01,2.6103851
2007-05-01,2.7137292
2007-06-01,2.9300843
2007-07-01,2.6288602
2007-08-01,2.5801123
2007-09-01,2.4857913
2007-10-01,2.3438004
2007-11-01,2.5198819
2007-12-01,2.3308079
2008-01-01,2.2853259
2008-02-01,2.103849
2008-03-01,1.8695218
2008-04-01,1.9211771
2008-05-01,2.1535028
2008-06-01,2.4364771
2008-07-01,2.5553495
2008-08-01,2.5915472
2008-09-01,2.3715854
2008-10-01,1.8029698
2008-11-01,1.3817519
2008-12-01,0.90262758
2009-01-01,0.99968559
2009-02-01,0.98104291
2009-03-01,0.55547583
2009-04-01,1.3680256
2009-05-01,1.4767959
2009-06-01,1.5561764
2009-07-01,1.6957757
2009-08-01,1.9379079
2009-09-01,2.0714713
2009-10-01,1.6690348
2009-11-01,1.78698
2009-12-01,1.7120951
2010-01-01,1.7684988
2010-02-01,1.7430196
2010-03-01,1.8467766
2010-04-01,1.7108385
2010-05-01,1.6779421
2010-06-01,1.503438
2010-07-01,1.241982
2010-08-01,1.402822
2010-09-01,1.131614
2010-10-01,1.3378753
2010-11-01,1.3337249
2010-12-01,1.4672684
2011-01-01,1.778904
2011-02-01,1.8688687
2011-03-01,1.9720195
2011-04-01,1.9833295
2011-05-01,2.0433638
2011-06-01,1.8845743
2011-07-01,2.0802072
2011-08-01,1.5134029
2011-09-01,1.1812453
2011-10-01,1.4065078
2011-11-01,1.4350988
2011-12-01,1.5504819
2012-01-01,1.415498
2012-02-01,1.4005995
2012-03-01,1.3571739
2012-04-01,1.5452227
2012-05-01,1.4563831
2012-06-01,1.0054631
2012-07-01,1.2763383
2012-08-01,1.3143955
2012-09-01,1.6019767
2012-10-01,1.436218
2012-11-01,1.4722702
2012-12-01,1.6780195
2013-01-01,1.2937453
2013-02-01,1.3478604
2013-03-01,1.1118621
2013-04-01,1.3474958
